"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with valid credentials","69745","TC01_ValidLogin - Login with valid credentials","suite","Fri Jan 03 11:24:32 GMT 2025","failed","Fri Jan 03 11:25:42 GMT 2025","LoginTest","","",""
"To Login to the store with newly added user","641","TC05_StoreLogin - To Login to the store with newly added user","suite","Fri Jan 03 11:24:42 GMT 2025","passed","Fri Jan 03 11:24:42 GMT 2025","RESTUserTest","","",""
"Contact Us regarding Headphone","4134","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Fri Jan 03 11:24:49 GMT 2025","passed","Fri Jan 03 11:24:54 GMT 2025","ContactUsTest","","",""
"To get all the user in the store","33055","TC01_GetAllUserTest - To get all the user in the store","suite","Fri Jan 03 11:23:58 GMT 2025","passed","Fri Jan 03 11:24:31 GMT 2025","RESTUserTest","","",""
"To update phone number of newly added user","5410","TC04_UpdateUser - To update phone number of newly added user","suite","Fri Jan 03 11:24:36 GMT 2025","passed","Fri Jan 03 11:24:42 GMT 2025","RESTUserTest","","",""
"Login with valid credentials from Create Account","68912","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Fri Jan 03 11:24:37 GMT 2025","failed","Fri Jan 03 11:25:46 GMT 2025","LoginTest","","",""
"To get single user in the store","1193","TC02_GetSingleUser - To get single user in the store","suite","Fri Jan 03 11:24:31 GMT 2025","passed","Fri Jan 03 11:24:33 GMT 2025","RESTUserTest","","",""
"Create new user with London Address","34711","TC02_CreateAccountTest - Create new user with London Address","suite","Fri Jan 03 11:23:58 GMT 2025","passed","Fri Jan 03 11:24:33 GMT 2025","CreateAccountTest","","",""
"To add new user to the store","3542","TC03_AddUser - To add new user to the store","suite","Fri Jan 03 11:24:33 GMT 2025","passed","Fri Jan 03 11:24:36 GMT 2025","RESTUserTest","","",""
"Login with invalid credentials","3594","TC02_InValidLogin - Login with invalid credentials","suite","Fri Jan 03 11:24:33 GMT 2025","passed","Fri Jan 03 11:24:37 GMT 2025","LoginTest","","",""
"To download pdf file from application","6389","DownloadTest - To download pdf file from application","suite","Fri Jan 03 11:24:43 GMT 2025","passed","Fri Jan 03 11:24:49 GMT 2025","DownloadTest","","",""
"To delete a newly added user","815","TC06_DeleteUser - To delete a newly added user","suite","Fri Jan 03 11:24:42 GMT 2025","passed","Fri Jan 03 11:24:43 GMT 2025","RESTUserTest","","",""
"Create new user with PK Address","33710","TC01_CreateAccountTest - Create new user with PK Address","suite","Fri Jan 03 11:23:58 GMT 2025","passed","Fri Jan 03 11:24:32 GMT 2025","CreateAccountTest","","",""
"Contact Us regarding Speakers","4031","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Fri Jan 03 11:24:54 GMT 2025","passed","Fri Jan 03 11:24:58 GMT 2025","ContactUsTest","","",""
